GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crud_rest_db,edu.mondragon.we2.pinkAlert.service,PatientService,0,57,0,0,0,14,0,7,0,7
crud_rest_db,edu.mondragon.we2.pinkAlert.service,DiagnosisService,24,179,0,0,0,40,4,14,4,14
crud_rest_db,edu.mondragon.we2.pinkAlert.service,DoctorService,0,53,0,0,0,13,0,7,0,7
crud_rest_db,edu.mondragon.we2.pinkAlert.model,User,0,52,0,0,0,23,0,15,0,15
crud_rest_db,edu.mondragon.we2.pinkAlert.model,Doctor,0,30,0,0,0,14,0,8,0,8
crud_rest_db,edu.mondragon.we2.pinkAlert.model,Role,0,21,0,0,0,4,0,1,0,1
crud_rest_db,edu.mondragon.we2.pinkAlert.model,Patient,0,51,0,2,0,21,0,12,0,11
crud_rest_db,edu.mondragon.we2.pinkAlert.model,Diagnosis,21,88,2,8,8,33,3,21,1,18
crud_rest_db,edu.mondragon.we2.pinkAlert,CrudRestDbApplication,5,3,0,0,2,1,1,1,1,1
crud_rest_db,edu.mondragon.we2.pinkAlert.controller,DiagnosisRestController.DiagnosisRequest,0,38,0,0,0,16,0,11,0,11
crud_rest_db,edu.mondragon.we2.pinkAlert.controller,DoctorController,0,153,1,5,0,39,1,6,0,4
crud_rest_db,edu.mondragon.we2.pinkAlert.controller,DiagnosisRestController,0,105,0,0,0,29,0,7,0,7
crud_rest_db,edu.mondragon.we2.pinkAlert.controller,DoctorController.DatePill,12,15,0,0,4,6,4,1,4,1
crud_rest_db,edu.mondragon.we2.pinkAlert.controller,LoginController,0,42,3,9,0,10,3,6,0,3
crud_rest_db,edu.mondragon.we2.pinkAlert.controller,DoctorRestController,9,58,0,0,2,17,1,7,1,7
crud_rest_db,edu.mondragon.we2.pinkAlert.controller,PatientRestController,9,43,0,0,2,12,1,6,1,6
